date,name,source,variable,value
2019-03-19,TzM,CHIRPS,precipitation,0.0
2019-03-20,TzM,CHIRPS,precipitation,0.0
2019-03-21,TzM,CHIRPS,precipitation,0.0
2019-03-22,TzM,CHIRPS,precipitation,0.0
2019-03-23,TzM,CHIRPS,precipitation,0.0
2019-03-24,TzM,CHIRPS,precipitation,0.0
2019-03-25,TzM,CHIRPS,precipitation,0.0
2019-03-26,TzM,CHIRPS,precipitation,0.0
2019-03-27,TzM,CHIRPS,precipitation,0.0
2019-03-28,TzM,CHIRPS,precipitation,0.0
2019-03-29,TzM,CHIRPS,precipitation,0.0
2019-03-30,TzM,CHIRPS,precipitation,0.0
2019-03-31,TzM,CHIRPS,precipitation,4.9096269607543945
2019-04-01,TzM,CHIRPS,precipitation,0.0
2019-04-02,TzM,CHIRPS,precipitation,0.0
2019-04-03,TzM,CHIRPS,precipitation,0.0
2019-04-04,TzM,CHIRPS,precipitation,0.0
2019-04-05,TzM,CHIRPS,precipitation,6.460599422454834
2019-04-06,TzM,CHIRPS,precipitation,3.726614236831665
2019-04-07,TzM,CHIRPS,precipitation,0.0
2019-04-08,TzM,CHIRPS,precipitation,0.0
2019-04-09,TzM,CHIRPS,precipitation,0.0
2019-04-10,TzM,CHIRPS,precipitation,0.0
2019-04-11,TzM,CHIRPS,precipitation,0.0
2019-04-12,TzM,CHIRPS,precipitation,0.0
2019-04-13,TzM,CHIRPS,precipitation,0.0
2019-04-14,TzM,CHIRPS,precipitation,0.0
2019-04-15,TzM,CHIRPS,precipitation,0.0
2019-04-16,TzM,CHIRPS,precipitation,0.0
2019-04-17,TzM,CHIRPS,precipitation,0.0
2019-04-18,TzM,CHIRPS,precipitation,11.91652774810791
2019-04-19,TzM,CHIRPS,precipitation,15.88870334625244
2019-04-20,TzM,CHIRPS,precipitation,27.80523109436035
2019-04-21,TzM,CHIRPS,precipitation,15.154390335083008
2019-04-22,TzM,CHIRPS,precipitation,4.323282241821289
2019-04-23,TzM,CHIRPS,precipitation,1.7936335802078247
2019-04-24,TzM,CHIRPS,precipitation,0.4712331295013428
2019-04-25,TzM,CHIRPS,precipitation,3.328181505203247
2019-04-26,TzM,CHIRPS,precipitation,0.0
2019-04-27,TzM,CHIRPS,precipitation,0.0
2019-04-28,TzM,CHIRPS,precipitation,0.0
2019-04-29,TzM,CHIRPS,precipitation,0.0
2019-04-30,TzM,CHIRPS,precipitation,0.0
2019-05-01,TzM,CHIRPS,precipitation,3.796083450317383
2019-05-02,TzM,CHIRPS,precipitation,3.796083450317383
2019-05-03,TzM,CHIRPS,precipitation,0.0
2019-05-04,TzM,CHIRPS,precipitation,0.0
2019-05-05,TzM,CHIRPS,precipitation,0.0
2019-05-06,TzM,CHIRPS,precipitation,0.0
2019-05-07,TzM,CHIRPS,precipitation,1.979662537574768
2019-05-08,TzM,CHIRPS,precipitation,0.0
2019-05-09,TzM,CHIRPS,precipitation,0.0
2019-05-10,TzM,CHIRPS,precipitation,0.0
2019-05-11,TzM,CHIRPS,precipitation,0.0
2019-05-12,TzM,CHIRPS,precipitation,0.0
2019-05-13,TzM,CHIRPS,precipitation,0.0
2019-05-14,TzM,CHIRPS,precipitation,0.0
2019-05-15,TzM,CHIRPS,precipitation,0.0
2019-05-16,TzM,CHIRPS,precipitation,0.0
2019-05-17,TzM,CHIRPS,precipitation,0.0
2019-05-18,TzM,CHIRPS,precipitation,0.0
